name	num.exp	num.users	avg.exp.per.user	num.exp.by.polys	num.polys	avg.exp.per.poly	total.users	total.polys
roh	6285	29	216.724137931	3139	17	184.647058824	763665	79442
zul	538	4	134.5	217	1	217	763665	79442
sco	10435	62	168.306451613	7064	44	160.545454545	763665	79442
scn	23378	79	295.924050633	9888	45	219.733333333	763665	79442
rom	319	4	79.75	319	4	79.75	763665	79442
ron	782799	3156	248.035171103	401882	1047	383.841451767	763665	79442
oss	5967	19	314.052631579	4556	10	455.6	763665	79442
lao	3263	24	135.958333333	192	7	27.4285714286	763665	79442
ita	11480501	25109	457.226532319	4640815	5639	822.985458415	763665	79442
zea	4584	11	416.727272727	3994	6	665.666666667	763665	79442
ssw	372	3	124	0	0	0	763665	79442
nld	6108509	13275	460.1513371	3402125	4555	746.899012075	763665	79442
nov	3246	3	1082	2955	2	1477.5	763665	79442
oci	112089	77	1455.7012987	93830	54	1737.59259259	763665	79442
tso	1876	3	625.333333333	1489	2	744.5	763665	79442
szl	1708	24	71.1666666667	839	16	52.4375	763665	79442
ell	687959	2065	333.152058111	320996	798	402.250626566	763665	79442
jav	52304	80	653.8	42068	38	1107.05263158	763665	79442
nor	1646666	5656	291.136138614	885686	2166	408.903970452	763665	79442
fij	79	2	39.5	41	1	41	763665	79442
fin	2798415	6182	452.671465545	1430449	1883	759.664896442	763665	79442
ksh	6978	28	249.214285714	2262	15	150.8	763665	79442
fil	114107	234	487.636752137	60645	159	381.41509434	763665	79442
haw	1983	7	283.285714286	10	1	10	763665	79442
amh	4334	24	180.583333333	3060	9	340	763665	79442
ceb	17857	27	661.37037037	16313	18	906.277777778	763665	79442
fas	1510424	3945	382.870468948	474383	888	534.21509009	763665	79442
dan	890603	2996	297.264018692	524745	1192	440.222315436	763665	79442
nau	687	8	85.875	613	6	102.166666667	763665	79442
ces	1601924	4559	351.376178987	787565	1257	626.5433572	763665	79442
mon	38357	112	342.473214286	26295	29	906.724137931	763665	79442
hif	13041	42	310.5	6531	14	466.5	763665	79442
mol	2906	28	103.785714286	844	12	70.3333333333	763665	79442
ava	524	4	131	11	1	11	763665	79442
ben	142245	365	389.712328767	106557	178	598.634831461	763665	79442
vls	33007	52	634.75	26218	26	1008.38461538	763665	79442
bis	307	6	51.1666666667	102	4	25.5	763665	79442
hin	303259	474	639.786919831	69833	244	286.200819672	763665	79442
bar	31000	119	260.504201681	23090	71	325.211267606	763665	79442
hye	62362	246	253.504065041	23133	89	259.921348315	763665	79442
guj	73836	77	958.909090909	14218	29	490.275862069	763665	79442
tir	73	2	36.5	0	0	0	763665	79442
yor	1328	8	166	415	3	138.333333333	763665	79442
afr	101569	183	555.021857923	76666	114	672.50877193	763665	79442
eml	9894	21	471.142857143	6525	15	435	763665	79442
bpy	681	3	227	641	2	320.5	763665	79442
div	11554	18	641.888888889	879	8	109.875	763665	79442
bam	689	4	172.25	59	2	29.5	763665	79442
bak	14508	21	690.857142857	1003	10	100.3	763665	79442
tel	268195	325	825.215384615	140422	115	1221.06086957	763665	79442
pms	57537	18	3196.5	27464	8	3433	763665	79442
mdf	681	5	136.2	44	1	44	763665	79442
kaa	1590	4	397.5	0	0	0	763665	79442
aze	141436	423	334.364066194	43497	158	275.297468354	763665	79442
ara	2055727	4642	442.853726842	499671	1116	447.733870968	763665	79442
arc	2060	9	228.888888889	1997	7	285.285714286	763665	79442
arg	60431	43	1405.37209302	11426	27	423.185185185	763665	79442
pam	18675	11	1697.72727273	18246	4	4561.5	763665	79442
cre	709	9	78.7777777778	148	4	37	763665	79442
tet	1432	10	143.2	913	4	228.25	763665	79442
sna	2979	2	1489.5	0	0	0	763665	79442
est	348803	1141	305.699386503	203864	347	587.504322767	763665	79442
sun	26626	46	578.826086957	13539	20	676.95	763665	79442
abk	2721	5	544.2	1470	2	735	763665	79442
kur	44467	117	380.05982906	21773	55	395.872727273	763665	79442
smo	1424	11	129.454545455	642	7	91.7142857143	763665	79442
wol	7218	10	721.8	4617	6	769.5	763665	79442
lug	479	1	479	0	0	0	763665	79442
got	2067	12	172.25	1256	5	251.2	763665	79442
sme	9260	22	420.909090909	7040	8	880	763665	79442
dsb	293	6	48.8333333333	159	4	39.75	763665	79442
nep	31443	63	499.095238095	11314	28	404.071428571	763665	79442
stq	93	3	31	15	1	15	763665	79442
hsb	12068	21	574.666666667	3709	11	337.181818182	763665	79442
tsn	438	5	87.6	64	1	64	763665	79442
run	29	1	29	0	0	0	763665	79442
iku	627	5	125.4	56	2	28	763665	79442
cha	490	4	122.5	490	4	122.5	763665	79442
tur	1901786	5788	328.573946095	887782	1543	575.360985094	763665	79442
slk	406111	1183	343.28909552	227047	436	520.75	763665	79442
tuk	4498	23	195.565217391	1763	8	220.375	763665	79442
que	3756	23	163.304347826	2036	14	145.428571429	763665	79442
ori	6535	26	251.346153846	4989	13	383.769230769	763665	79442
rus	11951163	29566	404.219813299	3634530	6541	555.653569791	763665	79442
rup	72250	20	3612.5	694	12	57.8333333333	763665	79442
crh	1409	13	108.384615385	514	7	73.4285714286	763665	79442
asm	11333	36	314.805555556	5312	14	379.428571429	763665	79442
pus	18989	26	730.346153846	14545	10	1454.5	763665	79442
kik	12	1	12	12	1	12	763665	79442
cos	5678	24	236.583333333	4405	16	275.3125	763665	79442
ile	706	13	54.3076923077	448	8	56	763665	79442
srd	2321	24	96.7083333333	903	16	56.4375	763665	79442
gla	22976	40	574.4	2538	23	110.347826087	763665	79442
srn	1420	3	473.333333333	1393	2	696.5	763665	79442
gle	81891	180	454.95	50909	103	494.262135922	763665	79442
ast	20641	96	215.010416667	5896	47	125.446808511	763665	79442
glg	238666	538	443.617100372	87168	259	336.555984556	763665	79442
ido	45776	28	1634.85714286	44524	21	2120.19047619	763665	79442
orm	1343	3	447.666666667	1296	2	648	763665	79442
wln	14540	22	660.909090909	4571	9	507.888888889	763665	79442
isl	172928	400	432.32	100089	181	552.977900552	763665	79442
nds	82737	59	1402.3220339	69324	47	1474.9787234	763665	79442
pdc	5854	14	418.142857143	5341	8	667.625	763665	79442
hbs	1967569	3594	547.459376739	765565	1213	631.133553174	763665	79442
pih	706	7	100.857142857	341	2	170.5	763665	79442
chu	8545	15	569.666666667	175	5	35	763665	79442
vie	1098223	2307	476.039445167	554290	518	1070.05791506	763665	79442
ipk	264	1	264	0	0	0	763665	79442
sgs	6054	13	465.692307692	3421	10	342.1	763665	79442
lmo	36407	60	606.783333333	25216	34	741.647058824	763665	79442
por	4768910	16526	288.570131913	1922175	3728	515.604881974	763665	79442
uzb	20394	57	357.789473684	11086	22	503.909090909	763665	79442
ukr	1785397	3563	501.093741229	558548	1322	422.502269289	763665	79442
pol	6300238	15419	408.602243985	2391336	3511	681.098262603	763665	79442
sah	4082	20	204.1	2368	9	263.111111111	763665	79442
sot	417	7	59.5714285714	385	6	64.1666666667	763665	79442
ewe	5073	4	1268.25	4957	2	2478.5	763665	79442
tgk	13299	41	324.365853659	956	8	119.5	763665	79442
