Source	Target	NumTransFromSrc	NumTransToTgt	NumOfTransSrcToTgt
est	uig	5739	1488	2
nus	eng	1	146294	1
sin	jpn	52	130893	5
kaa	kir	129	1528	1
fro	deu	902	292124	60
oge	ell	11	27422	1
ron	dan	5475	64799	9
aze	ara	774	12488	8
eng	mbi	1225237	3	3
hye	mon	1100	2423	1
tha	msa	215	5416	1
deu	gla	201718	227	2
lav	bel	1288	1874	10
kaz	fas	948	11329	1
krc	hun	141	54989	2
heb	enm	9889	28	6
hbs	mkd	12743	3901	524
swb	fra	1	238463	1
ita	mal	66453	1202	10
nor	tgk	14530	1062	1
san	mol	4282	3720	3
spa	lat	52955	362	6
ces	asm	17202	526	1
vec	nor	5	45923	1
chm	eng	116	146294	2
grc	cko	17342	3	2
deu	hin	201718	3506	63
ita	amh	66453	317	1
ofs	nld	2	111371	1
kat	jpn	1224	130893	2
heb	nnw	9889	13	1
bis	fra	2	238463	1
ara	por	11884	74721	93
rus	slk	101395	19641	1888
tuk	hau	434	53	1
cym	gla	621	227	13
kir	guj	708	524	1
ces	mal	17202	1202	1
grc	ben	17342	1878	20
uzb	ces	872	64442	1
tmh	eng	27	146294	1
bak	tuk	357	741	4
por	ara	11390	12488	30
arc	deu	347	292124	26
nyj	jpn	4	130893	1
arc	lad	347	15	2
eng	mwf	1225237	3	3
yid	bul	1590	25742	7
jpn	cat	26921	18004	57
fas	fra	2837	238463	294
eng	kon	1225237	5	1
thd	eng	1	146294	1
eng	arg	1225237	64	6
grc	ino	17342	1	1
otk	bul	12	25742	1
tkw	eng	1	146294	1
heb	fro	9889	20	2
hun	por	11256	74721	44
bel	nld	1409	111371	4
heb	tel	9889	668	1
lat	fao	19240	415	1
bel	uzb	1409	2757	11
kat	hye	1224	2139	33
ckt	hbs	33	45036	1
pan	ori	327	752	3
urd	fas	950	11329	26
sin	ben	52	1878	1
eng	kkj	1225237	27	3
rus	lit	101395	15447	2279
spa	mcb	52955	1	1
pol	cat	14104	18004	41
sin	nep	52	140	1
ces	uig	17202	1488	1
non	ita	299	59830	6
msa	kaz	485	2454	1
dan	bul	21239	25742	76
ave	fas	17	11329	3
eng	gez	1225237	1	1
ukr	tgk	2877	1062	13
paw	eng	2	146294	1
tgk	rus	476	82772	281
tuk	ces	434	64442	1
orv	uzb	173	2757	1
fin	epo	8296	542	3
isl	tur	1518	11874	1
tzm	fra	49	238463	43
mol	uzb	2864	2757	7
isl	por	1518	74721	1
grc	anv	17342	10	1
eng	abx	1225237	1	1
tuk	lav	434	8145	7
jpn	zho	26921	62650	7196
sux	est	133	20605	2
lit	epo	1985	542	7
san	kas	4282	10	1
fra	tbz	216624	7	7
est	bel	5739	1874	11
fra	xuo	216624	11	5
nor	lat	14530	362	2
sna	fra	5	238463	1
uzb	hye	872	2139	9
lat	vie	19240	786	1
bod	nld	1508	111371	44
ckt	ukr	33	4514	1
grc	mif	17342	26	14
gup	eng	1	146294	1
hun	kaz	11256	2454	8
kaz	tat	948	819	3
kum	tuk	44	741	1
sux	kat	133	2176	2
enm	nor	231	45923	1
deu	fra	201718	238463	23153
fin	lit	8296	15447	53
nor	mol	14530	3720	5
bul	lit	3667	15447	32
slv	kaz	2463	2454	3
hye	cat	1100	18004	4
dan	nya	21239	18	1
sin	uzb	52	2757	1
ces	cat	17202	18004	47
eng	aoi	1225237	1	1
grc	mcu	17342	12	2
lat	jpn	19240	130893	305
swe	urd	39192	1005	4
fra	dnn	216624	10	8
tur	spa	2658	228910	73
bul	bel	3667	1874	27
heb	obo	9889	4	1
dan	pus	21239	285	2
eng	kac	1225237	66	1
ukr	aze	2877	1658	21
dan	uig	21239	1488	2
fra	ozm	216624	17	7
ces	hun	17202	54989	1355
fas	msa	2837	5416	23
ckt	kat	33	2176	1
mfe	fra	9	238463	4
lat	oji	19240	25	1
lat	ces	19240	64442	400
rup	bul	5	25742	1
urd	ben	950	1878	103
grc	caa	17342	1	1
ave	rus	17	82772	1
tat	vie	462	786	1
epo	deu	99	292124	4
mol	deu	2864	292124	22
hin	kan	1469	700	44
bel	kir	1409	1528	9
cat	cos	8328	50	1
sqi	jpn	1424	130893	5
mkd	lit	1592	15447	3
xtm	spa	1	228910	1
rom	eng	79	146294	7
bod	est	1508	20605	8
mor	hun	2	54989	2
est	hye	5739	2139	10
ltz	deu	4	292124	2
yrk	rus	41	82772	33
dan	epo	21239	542	12
hun	tur	11256	11874	40
chv	swe	203	71688	1
lav	por	1288	74721	3
dan	smj	21239	42	3
tuk	spa	434	228910	1
kik	swe	18	71688	1
hbs	eng	12743	146294	3899
swe	ces	39192	64442	317
por	ori	11390	752	1
ave	deu	17	292124	1
eng	prt	1225237	5	3
kom	khm	121	231	1
fro	tur	902	11874	3
deu	inh	201718	54	1
fin	iku	8296	304	1
vie	fas	668	11329	1
heb	srn	9889	13	5
mlt	ita	27	59830	1
hun	cat	11256	18004	21
isl	ukr	1518	4514	2
spa	isl	52955	6514	110
ykg	eng	21	146294	1
hmn	fra	8	238463	1
ron	kor	5475	22338	17
ukr	fas	2877	11329	2
mol	bel	2864	1874	8
fra	dur	216624	1	1
mri	ton	88	85	1
eng	mgo	1225237	4	2
spa	cbt	52955	1	1
egy	zho	235	62650	1
ska	eng	2	146294	1
cat	dan	8328	64799	12
grc	erk	17342	1	1
dum	nld	84	111371	36
heb	gnn	9889	2	1
chv	tat	203	819	2
ron	hye	5475	2139	6
abk	aze	171	1658	1
eng	ifa	1225237	4	2
hbs	est	12743	20605	4
gag	ron	19	18464	1
ita	fil	66453	150	1
lat	hye	19240	2139	1
deu	hbs	201718	45036	5034
slk	sqi	4205	6757	2
bod	swe	1508	71688	12
snd	asm	47	526	1
kpy	bul	6	25742	1
fra	ces	216624	64442	4147
nij	eng	1	146294	1
nap	deu	11	292124	2
heb	slk	9889	19641	42
ell	fin	4862	46271	43
cym	hun	621	54989	2
kor	fra	4621	238463	1119
deu	swe	201718	71688	3747
eng	mon	1225237	2423	207
por	kor	11390	22338	51
dan	tur	21239	11874	126
hye	ron	1100	18464	13
ces	roh	17202	284	1
dan	ast	21239	193	3
kum	mol	44	3720	1
tur	msa	2658	5416	8
aoi	eng	1	146294	1
deu	epo	201718	542	73
grc	bwu	17342	4	4
eng	lkt	1225237	1	1
lav	fin	1288	46271	19
lav	hbs	1288	45036	2
koy	eng	1	146294	1
lat	mol	19240	3720	18
grc	swe	17342	71688	320
kal	sme	86	173	2
swe	kal	39192	327	8
kum	rus	44	82772	37
uzb	eng	872	146294	23
dum	cat	84	18004	1
yid	lad	1590	15	1
zho	vie	13337	786	30
msa	kor	485	22338	3
mlt	fra	27	238463	4
lav	slk	1288	19641	29
urd	uzb	950	2757	2
rus	gag	101395	15	6
ang	ces	147	64442	3
bul	mon	3667	2423	1
guj	tam	264	1763	11
est	fra	5739	238463	70
tur	ell	2658	27422	106
pam	fil	1	150	1
oss	kat	195	2176	38
slv	roh	2463	284	1
msa	jpn	485	130893	77
syr	hye	252	2139	2
dar	tgk	83	1062	1
eng	khm	1225237	231	7
omn	deu	1	292124	1
fin	fra	8296	238463	324
ava	tur	186	11874	1
oss	slk	195	19641	3
grc	bss	17342	5	1
nld	fao	18978	415	4
gla	sco	78	32	1
egy	nld	235	111371	2
heb	xrb	9889	12	1
dar	kum	83	65	1
vls	spa	9	228910	1
por	kaa	11390	568	1
yid	lit	1590	15447	6
coj	eng	1	146294	1
tha	hun	215	54989	1
rom	bul	79	25742	1
iku	sme	108	173	1
pli	deu	400	292124	66
kir	uzb	708	2757	12
moh	eng	3	146294	1
slv	ukr	2463	4514	11
frm	por	267	74721	3
zho	yiz	13337	224	222
ara	spa	11884	228910	1129
sco	fra	29	238463	3
rus	ara	101395	12488	1534
psi	deu	4	292124	1
heb	yam	9889	11	1
mar	pol	405	76720	2
hye	lav	1100	8145	8
nci	deu	63	292124	5
syr	jpn	252	130893	4
tat	spa	462	228910	1
grc	gnn	17342	2	1
urd	guj	950	524	3
grc	ady	17342	50	1
grc	dan	17342	64799	305
sme	ell	103	27422	1
ell	ita	4862	59830	145
fra	rcf	216624	16	13
ces	por	17202	74721	95
spa	ron	52955	18464	478
lav	mar	1288	878	1
kan	jpn	314	130893	2
slk	deu	4205	292124	350
heb	msa	9889	5416	1
sco	eng	29	146294	13
grc	cre	17342	66	1
dum	deu	84	292124	3
bam	deu	29	292124	3
vie	ben	668	1878	2
spa	cos	52955	50	2
zho	khb	13337	2	2
grc	tyv	17342	164	1
pro	tur	159	11874	1
non	nor	299	45923	70
fin	por	8296	74721	16
spa	kir	52955	1528	10
grc	tpi	17342	6	1
ben	uig	2223	1488	15
fin	slv	8296	18719	35
che	tat	80	819	1
isl	swe	1518	71688	189
guj	san	264	58	1
udm	hun	123	54989	2
kaz	tur	948	11874	2
lit	tel	1985	668	3
epo	hun	99	54989	18
acf	eng	3	146294	1
ukr	che	2877	57	1
crs	eng	5	146294	1
spa	mal	52955	1202	14
xeb	eng	1	146294	1
man	eng	15	146294	5
deu	tam	201718	1763	46
enf	dan	11	64799	1
pan	deu	327	292124	8
tur	rom	2658	82	1
bod	msa	1508	5416	2
est	kat	5739	2176	12
epo	zho	99	62650	6
hun	tgk	11256	1062	5
fri	ita	119	59830	1
ron	tgk	5475	1062	4
afr	kua	357	2	1
deu	nor	201718	45923	2333
tha	tam	215	1763	1
swe	est	39192	20605	777
est	gle	5739	167	2
hbs	kir	12743	1528	1
rcf	fra	35	238463	32
por	hbs	11390	45036	231
gld	lit	39	15447	2
ktu	deu	1	292124	1
bul	rus	3667	82772	1113
slv	eng	2463	146294	465
kan	spa	314	228910	1
fas	hin	2837	3506	7
eng	blw	1225237	5	3
zho	msa	13337	5416	18
sqi	slv	1424	18719	9
lit	deu	1985	292124	178
ron	lav	5475	8145	4
kpy	ukr	6	4514	1
hye	tel	1100	668	2
ibo	deu	9	292124	1
kaz	lav	948	8145	4
krc	kbd	141	86	1
lao	eng	41	146294	10
zho	hmn	13337	30	25
asm	swe	95	71688	1
est	isl	5739	6514	1
deu	gsw	201718	116	52
sux	spa	133	228910	16
eus	ukr	1021	4514	1
ces	bre	17202	406	1
bis	eng	2	146294	1
grc	bre	17342	406	6
swa	msa	65	5416	1
ces	kaa	17202	568	2
bci	eng	1	146294	1
grc	hun	17342	54989	309
rus	mkd	101395	3901	285
nog	kaa	28	568	1
fra	asm	216624	526	23
nog	tat	28	819	1
kir	mal	708	1202	3
ita	bel	66453	1874	9
smo	dan	74	64799	1
rus	tyv	101395	164	142
eng	hnn	1225237	1	1
bul	aze	3667	1658	10
spa	hye	52955	2139	12
akk	est	136	20605	1
kur	ara	137	12488	6
fro	hbs	902	45036	6
eng	jao	1225237	2	2
jpn	heb	26921	10961	28
grc	wwa	17342	22	9
tuk	ara	434	12488	5
pol	mkd	14104	3901	39
akk	tur	136	11874	1
kir	ces	708	64442	4
deu	kbd	201718	86	1
mon	mol	244	3720	3
slv	hye	2463	2139	1
frm	cat	267	18004	1
csb	pol	4	76720	1
uzb	fra	872	238463	16
ben	guj	2223	524	64
let	est	2	20605	1
bua	ukr	128	4514	4
pli	san	400	58	1
aze	tuk	774	741	9
bre	deu	212	292124	24
nld	vie	18978	786	2
yid	zho	1590	62650	5
sot	deu	9	292124	2
grc	cjv	17342	1	1
akk	fin	136	46271	2
kor	dan	4621	64799	28
mal	kan	306	700	14
fas	sqi	2837	6757	27
msa	por	485	74721	1
ita	gle	66453	167	4
eus	fra	1021	238463	58
pro	rus	159	82772	4
deu	syr	201718	11	1
nor	uig	14530	1488	1
kur	kat	137	2176	6
cul	spa	1	228910	1
spa	ell	52955	27422	904
pol	ukr	14104	4514	136
grc	ltz	17342	36	2
fra	heb	216624	10961	682
dan	tsz	21239	2	2
mya	slk	60	19641	1
rus	yor	101395	28	10
grc	kbp	17342	10	4
ibo	cat	9	18004	1
ava	lez	186	64	1
sbg	fra	1	238463	1
dan	por	21239	74721	141
jav	jpn	18	130893	1
lav	dan	1288	64799	5
ori	swe	244	71688	1
heb	roh	9889	284	1
bel	jpn	1409	130893	3
eng	iku	1225237	304	68
eng	swg	1225237	21	12
chu	hbs	80	45036	26
grc	bib	17342	12	2
abk	spa	171	228910	1
nor	eng	14530	146294	1330
spa	arg	52955	64	24
ori	san	244	58	3
tam	tel	496	668	27
tur	kur	2658	201	9
ell	slv	4862	18719	16
rus	uig	101395	1488	390
aze	ron	774	18464	1
pol	ita	14104	59830	316
heb	chu	9889	7	1
por	ita	11390	59830	357
ell	chu	4862	7	1
jpn	rus	26921	82772	507
pol	eng	14104	146294	2273
uzb	lav	872	8145	6
ita	hin	66453	3506	2
heb	tuk	9889	741	1
fas	sin	2837	671	1
mya	ukr	60	4514	1
mol	ita	2864	59830	11
ara	ben	11884	1878	47
tam	san	496	58	3
frm	deu	267	292124	11
slv	pol	2463	76720	37
kaz	ukr	948	4514	21
isl	nld	1518	111371	36
fra	idd	216624	2	1
fro	hun	902	54989	8
sqi	nld	1424	111371	30
heb	sil	9889	8	2
ibo	fra	9	238463	1
nld	afr	18978	776	2
est	spa	5739	228910	42
dar	tab	83	61	1
nor	est	14530	20605	138
lav	mal	1288	1202	1
ara	kur	11884	201	5
eng	hur	1225237	1	1
grc	kyf	17342	3	1
cat	est	8328	20605	4
ach	fra	3	238463	1
mfe	eng	9	146294	5
mkd	hbs	1592	45036	205
grc	msa	17342	5416	17
tuk	tat	434	819	1
asm	pol	95	76720	3
tam	hin	496	3506	28
tat	ell	462	27422	2
hbs	tab	12743	61	1
eng	hbs	1225237	45036	23121
ara	ori	11884	752	4
zho	kaz	13337	2454	321
spa	bul	52955	25742	409
spa	pan	52955	384	1
san	ron	4282	18464	43
dan	mya	21239	274	1
sin	fra	52	238463	4
dan	lav	21239	8145	73
lav	kaz	1288	2454	3
eng	gue	1225237	1	1
ava	tab	186	61	1
pro	ces	159	64442	1
tel	fra	277	238463	11
grc	mba	17342	1	1
nor	kor	14530	22338	18
som	fra	26	238463	4
por	cat	11390	18004	221
hbs	nld	12743	111371	98
gmh	zho	595	62650	1
tur	urd	2658	1005	2
jrb	fra	12	238463	2
ell	fas	4862	11329	5
grc	ifu	17342	1	1
ita	cym	66453	2312	1
mkd	ell	1592	27422	7
por	hun	11390	54989	232
ori	tam	244	1763	3
chu	fin	80	46271	2
fra	fri	216624	118	4
fin	eng	8296	146294	1579
sqi	deu	1424	292124	152
orv	fra	173	238463	2
kjb	spa	3	228910	2
uzb	deu	872	292124	14
ava	hin	186	3506	2
swe	mkd	39192	3901	24
cym	glg	621	2371	2
grc	beh	17342	14	1
grc	san	17342	58	1
deu	eus	201718	3923	320
bel	swe	1409	71688	6
tgk	mol	476	3720	5
bal	pus	5	285	1
heb	xuo	9889	11	1
eng	agq	1225237	6	3
ben	mkd	2223	3901	6
pli	hin	400	3506	3
lav	ukr	1288	4514	27
slk	lit	4205	15447	15
por	aze	11390	1658	1
spa	rom	52955	82	1
hye	ukr	1100	4514	31
evn	ces	24	64442	1
eng	ara	1225237	12488	6684
hin	tgk	1469	1062	4
ukr	slv	2877	18719	1
shn	mya	3	274	3
heb	fra	9889	238463	1279
san	tur	4282	11874	2
grc	bkd	17342	4	3
grc	nay	17342	2	1
swe	por	39192	74721	122
xsm	fra	1	238463	1
uga	rus	6	82772	1
por	nor	11390	45923	143
fra	cos	216624	50	39
kik	rus	18	82772	2
swe	fri	39192	118	14
spa	est	52955	20605	207
mon	aze	244	1658	2
ron	kir	5475	1528	3
hin	fra	1469	238463	75
eng	kwn	1225237	1	1
chv	aze	203	1658	2
eng	obo	1225237	4	1
zho	fas	13337	11329	9
pus	kaz	60	2454	3
fao	est	104	20605	2
grc	afr	17342	776	7
kor	oss	4621	153	1
kat	cat	1224	18004	1
ave	fra	17	238463	3
epo	kor	99	22338	2
ron	cat	5475	18004	8
ron	kaz	5475	2454	1
nog	kaz	28	2454	3
chu	pol	80	76720	3
mol	hye	2864	2139	3
heb	adj	9889	4	2
hye	kur	1100	201	3
spa	por	52955	74721	5201
rus	crh	101395	20	13
hat	ita	22	59830	1
grc	ceb	17342	11	2
grc	zmz	17342	1	1
swa	deu	65	292124	17
fra	wol	216624	16	13
fra	ful	216624	9	5
lbe	aze	41	1658	1
kor	kat	4621	2176	1
hin	kat	1469	2176	1
spa	hbs	52955	45036	1112
ori	hun	244	54989	2
est	deu	5739	292124	446
zho	ori	13337	752	4
afr	heb	357	10961	1
ben	bre	2223	406	1
tur	kat	2658	2176	11
san	dan	4282	64799	23
abk	swe	171	71688	1
ain	eng	1	146294	1
tur	deu	2658	292124	689
khm	deu	51	292124	8
uig	rus	81	82772	33
fro	pcd	902	10	1
lah	urd	7	1005	5
glg	ukr	1346	4514	1
tel	pol	277	76720	2
fra	nld	216624	111371	11612
pus	ara	60	12488	1
sqi	eng	1424	146294	268
aze	jpn	774	130893	1
fra	tam	216624	1763	33
jrb	heb	12	10961	2
sre	fra	1	238463	1
pol	tur	14104	11874	29
lrl	fra	1	238463	1
hbs	fin	12743	46271	24
hbs	epo	12743	542	25
urd	tur	950	11874	76
ara	tyv	11884	164	1
grc	sjm	17342	10	4
fra	bjt	216624	2	2
oci	ita	452	59830	3
nor	tur	14530	11874	30
frr	deu	7	292124	5
grc	haz	17342	1	1
rus	kpy	101395	7	7
lat	pol	19240	76720	578
abk	est	171	20605	2
chg	rus	19	82772	5
zho	hun	13337	54989	129
eng	kaa	1225237	568	5
hye	hun	1100	54989	14
grc	jvn	17342	6	5
eng	bre	1225237	406	58
cop	deu	177	292124	16
ita	eus	66453	3923	122
lat	gmh	19240	15	7
guj	hin	264	3506	115
liv	fin	3	46271	1
swe	dan	39192	64799	7513
rus	ori	101395	752	99
swe	mon	39192	2423	1
lit	kat	1985	2176	8
eus	hun	1021	54989	1
srd	lat	6	362	1
ben	fin	2223	46271	5
isl	heb	1518	10961	3
gle	glg	269	2371	3
fra	wni	216624	1	1
zho	hni	13337	12	11
fas	dan	2837	64799	29
kaz	aze	948	1658	4
eng	xsm	1225237	37	3
kir	tam	708	1763	5
isl	pol	1518	76720	7
fas	tat	2837	819	2
sqi	por	1424	74721	10
bul	epo	3667	542	16
tgk	tuk	476	741	6
grc	blw	17342	5	1
jpn	ara	26921	12488	32
lkt	eng	5	146294	4
est	cat	5739	18004	1
non	fin	299	46271	5
sum	deu	2	292124	1
cbs	spa	1	228910	1
tat	chv	462	174	2
hlb	eng	2	146294	1
ukr	eng	2877	146294	411
fra	lao	216624	232	1
grc	ozm	17342	17	9
ful	eng	20	146294	2
uzb	guj	872	524	1
lat	dan	19240	64799	236
kal	swe	86	71688	3
fra	sin	216624	671	31
yid	est	1590	20605	9
bel	deu	1409	292124	54
ces	sah	17202	201	1
mon	est	244	20605	2
brh	urd	1	1005	1
cre	dak	117	23	14
grc	ife	17342	45	22
haw	ces	18	64442	1
fra	gur	216624	15	4
kaz	hun	948	54989	2
fas	ori	2837	752	1
dan	mal	21239	1202	1
heb	udm	9889	37	2
eng	bvz	1225237	1	1
sqi	bul	1424	25742	13
hin	uzb	1469	2757	8
lav	kaa	1288	568	2
hau	fra	9	238463	1
pli	msa	400	5416	1
ukr	spa	2877	228910	27
akk	pol	136	76720	6
eng	tbw	1225237	3	3
fra	ktu	216624	1	1
kur	hye	137	2139	1
acr	fra	4	238463	1
lat	ara	19240	12488	41
ces	fas	17202	11329	16
fro	zho	902	62650	2
hbs	xal	12743	42	1
dan	kir	21239	1528	1
nor	bel	14530	1874	1
pli	kor	400	22338	1
por	glg	11390	2371	59
hbs	ita	12743	59830	606
kbd	hye	119	2139	1
fas	glg	2837	2371	1
smn	nor	1	45923	1
grc	srn	17342	13	8
wap	eng	1	146294	1
mal	guj	306	524	7
ozm	fra	1	238463	1
eng	gle	1225237	167	112
fro	spa	902	228910	125
cre	fra	117	238463	4
kib	eng	2	146294	1
hin	san	1469	58	18
mic	fra	5	238463	2
ben	eus	2223	3923	3
mhg	eng	2	146294	1
fil	ita	87	59830	1
kir	bul	708	25742	2
deu	sqi	201718	6757	583
mol	kaa	2864	568	2
eng	suq	1225237	7	3
fra	fmp	216624	3	3
frm	ori	267	752	1
grc	enm	17342	28	2
pli	kan	400	700	1
grc	kzr	17342	17	5
chu	krl	80	7	1
uzb	pol	872	76720	4
nhv	spa	2	228910	1
grc	kmb	17342	2	1
spa	fas	52955	11329	97
cym	cat	621	18004	1
por	ukr	11390	4514	15
hbs	heb	12743	10961	18
bod	ben	1508	1878	7
ara	isl	11884	6514	9
dan	sah	21239	201	1
slk	hye	4205	2139	4
ron	fin	5475	46271	8
paw	deu	2	292124	1
grc	msb	17342	1	1
wlm	nor	5	45923	1
deu	eng	201718	146294	28028
vie	lit	668	15447	7
nor	deu	14530	292124	1973
cat	por	8328	74721	35
mol	bul	2864	25742	14
deu	bik	201718	2	1
arc	ces	347	64442	15
grc	yre	17342	2	1
spa	hun	52955	54989	811
fro	glg	902	2371	3
mic	eng	5	146294	3
eng	ndo	1225237	4	3
heb	lit	9889	15447	38
lit	khm	1985	231	2
yuc	eng	1	146294	1
mns	rus	20	82772	11
dan	ces	21239	64442	164
dum	hun	84	54989	1
fur	ita	8	59830	3
ara	msa	11884	5416	1029
heb	daa	9889	17	4
vie	rus	668	82772	75
spa	cat	52955	18004	3616
por	isl	11390	6514	5
kir	swe	708	71688	6
ara	mlg	11884	204	2
dan	tiz	21239	145	1
pib	spa	1	228910	1
frr	fra	7	238463	1
xal	oss	153	153	1
arx	eng	1	146294	1
