Num	Language	Code	People (all years)	People (1800-1950 only)
1	Afrikaans	afr	0.1	0.1
2	Albanian	sqi	0	0
3	Arabic	ara	86	14
4	Basque	eus	1.5	0.5
5	Bengali	ben	7.5	1.3
6	Bulgarian	bul	0.8	0.8
7	Catalan	cat	12.9	4.4
8	Chinese	zho	237.1	22.1
9	Czech	ces	48	28
10	Danish	dan	37	20
11	Dutch	nld	133.2	47.2
12	English	eng	772.1	461.4
13	Finnish	fin	5.7	4.8
14	French	fra	593.6	258.1
15	Galician	glg	5.3	1.8
16	German	deu	645.1	330.9
17	Greek (Modern)	ell	8.1	5.1
18	Hindi	hin	38.1	6.6
19	Hungarian	hun	20.5	17.6
20	Icelandic	isl	2	1
21	Italian	ita	394.8	61
22	Japanese	jpn	169	57
23	Malayalam	mal	3	0.5
24	Marathi	mar	6.5	1.1
25	Norwegian	nor	23	22
26	Polish	pol	24.4	20.5
27	Portuguese	por	14	7
28	Romanian	ron	4.5	3.6
29	Russian	rus	134	118
30	Serbo-Croatian	hbs	9.5	6.9
31	Slovak	slk	3.6	3.6
32	Slovenian	slv	2	2
33	Spanish	spa	100.5	59.9
34	Swahili	swa	0.8	0.8
35	Swedish	swe	44.3	21.2
36	Tamil	tam	5.5	0.9
37	Turkish	tur	1.8	1.2
38	Urdu	urd	4.7	0.8
39	Welsh	cym	6.4	2.8
