name	num.exps	num.users	avg.exp.per.user	num.exp.by.polys	num.polys	avg.exp.per.poly	total.users	total.polys
fil	117861	811	145.327990136	66730	535	124.728971963	2562860	279172
mlt	28794	135	213.288888889	27358	93	294.172043011	2562860	279172
slk	433865	4526	95.8605832965	312358	1929	161.927423536	2562860	279172
ful	222	11	20.1818181818	189	5	37.8	2562860	279172
zho	7302770	50341	145.066049542	3735468	13826	270.177057717	2562860	279172
tat	43570	102	427.156862745	8645	55	157.181818182	2562860	279172
sah	4406	59	74.6779661017	3162	29	109.034482759	2562860	279172
san	23918	144	166.097222222	19956	93	214.580645161	2562860	279172
uig	2817	48	58.6875	433	25	17.32	2562860	279172
jpn	16149315	102857	157.007447233	4341051	18578	233.666218107	2562860	279172
vol	670	49	13.6734693878	322	32	10.0625	2562860	279172
sag	524	6	87.3333333333	374	3	124.666666667	2562860	279172
myv	2148	15	143.2	387	7	55.2857142857	2562860	279172
lbe	459	16	28.6875	102	7	14.5714285714	2562860	279172
khm	33262	289	115.093425606	10972	65	168.8	2562860	279172
tam	304589	1289	236.298681148	196581	618	318.09223301	2562860	279172
mya	40958	162	252.827160494	28175	69	408.333333333	2562860	279172
spa	13645596	145487	93.7925450384	7554652	41700	181.166714628	2562860	279172
tah	1668	18	92.6666666667	954	12	79.5	2562860	279172
ina	7971	140	56.9357142857	5473	102	53.6568627451	2562860	279172
bik	850	26	32.6923076923	765	23	33.2608695652	2562860	279172
pap	4061	50	81.22	2802	30	93.4	2562860	279172
aar	46	4	11.5	9	3	3.0	2562860	279172
som	9329	120	77.7416666667	7658	69	110.985507246	2562860	279172
eng	198361048	1589250	124.814250747	78341211	218320	358.836620557	2562860	279172
lim	38901	163	238.656441718	34871	101	345.257425743	2562860	279172
lin	3080	11	280.0	1395	9	155.0	2562860	279172
ewe	5204	22	236.545454545	5157	18	286.5	2562860	279172
csb	4278	77	55.5584415584	3756	48	78.25	2562860	279172
lit	363853	3584	101.521484375	175801	1262	139.303486529	2562860	279172
nap	4732	106	44.641509434	2595	89	29.1573033708	2562860	279172
nav	4424	21	210.666666667	4227	16	264.1875	2562860	279172
nau	741	17	43.5882352941	647	14	46.2142857143	2562860	279172
grn	1759	51	34.4901960784	1443	35	41.2285714286	2562860	279172
new	948	33	28.7272727273	659	20	32.95	2562860	279172
nya	133	5	26.6	19	3	6.33333333333	2562860	279172
ssw	401	9	44.5555555556	129	7	18.4285714286	2562860	279172
afr	103652	511	202.84148728	95988	352	272.693181818	2562860	279172
mri	946	51	18.5490196078	354	35	10.1142857143	2562860	279172
zza	16711	51	327.666666667	11640	28	415.714285714	2562860	279172
kab	4323	50	86.46	3048	40	76.2	2562860	279172
snd	1271	53	23.9811320755	252	25	10.08	2562860	279172
mar	289103	614	470.851791531	72147	288	250.510416667	2562860	279172
cor	1053	47	22.4042553191	791	34	23.2647058824	2562860	279172
kir	12798	176	72.7159090909	6270	56	111.964285714	2562860	279172
kan	66924	535	125.091588785	46292	285	162.428070175	2562860	279172
kal	4395	32	137.34375	4244	27	157.185185185	2562860	279172
kas	497	9	55.2222222222	118	6	19.6666666667	2562860	279172
ilo	9242	38	243.210526316	6346	29	218.827586207	2562860	279172
sqi	196685	1996	98.5395791583	137800	1083	127.239150508	2562860	279172
kin	179	12	14.9166666667	126	10	12.6	2562860	279172
kau	53	6	8.83333333333	32	4	8.0	2562860	279172
kat	228550	1163	196.517626827	148657	466	319.006437768	2562860	279172
lat	326569	1375	237.504727273	146178	1016	143.875984252	2562860	279172
kaz	189318	586	323.068259386	74898	205	365.356097561	2562860	279172
lav	153766	1582	97.1972187105	86576	642	134.853582555	2562860	279172
mal	313554	1435	218.504529617	250130	729	343.113854595	2562860	279172
urd	167269	447	374.203579418	31206	224	139.3125	2562860	279172
bod	6650	91	73.0769230769	488	26	18.7692307692	2562860	279172
lao	3646	74	49.2702702703	854	34	25.1176470588	2562860	279172
yor	1393	21	66.3333333333	1152	14	82.2857142857	2562860	279172
epo	455591	1786	255.090145577	375020	1297	289.144178874	2562860	279172
ext	9161	34	269.441176471	8899	26	342.269230769	2562860	279172
zul	612	17	36.0	554	13	42.6153846154	2562860	279172
jbo	10878	56	194.25	9928	40	248.2	2562860	279172
tha	905118	7155	126.501467505	510278	1878	271.713525027	2562860	279172
fao	7425	132	56.25	6015	85	70.7647058824	2562860	279172
