Num	Country	People (all years)	People (1800-1950 only)
1	Ancient Greece	134	
2	Arab World	86	14
3	Argentina	2	2
4	Australia	4	4
5	Austria	75	48
6	Belgium	82	27
7	Brazil	3	3
8	Bulgaria	1	1
9	Canada	11	11
10	Chile	3	3
11	China	237	22
12	Croatia	5	3
13	Cuba	3	3
14	Czech Republic	48	28
15	Denmark	37	20
16	Finland	6	5
17	France	542	236
18	Germany	536	267
19	Greece	9	6
20	Guatemala	1	1
21	Hungary	21	18
22	Iceland	2	1
23	India	93	16
24	Italy	389	58
25	Japan	169	57
26	Kenya	1	1
27	Mexico	5	4
28	Montenegro	1	1
29	Netherlands	84	31
30	New Zealand	3	3
31	Nicaragua	1	1
32	Norway	23	22
33	Peru	1	1
34	Poland	25	21
35	Portugal	11	4
36	Romania	5	4
37	Rome	55	
38	Russia	134	118
39	Serbia	2	2
40	Slovakia	4	4
41	Slovenia	2	2
42	South Africa	1	1
43	Spain	76	26
44	Sweden	44	21
45	Switzerland	64	32
46	United Kingdom	531	230
47	United States	297	272
