twit.eig	twit.popfrom	wiki.eig	wiki.popfrom	book.eig	book.popfrom	gdp.pc	pop	cultexp	language
0.016902294720264	0.001	0.00338395851406093	0.001	0.00224814814302346	0.001	10372.8079431	13	4.137	afr
7.35044068930816e-06	0.001	0.0003301928223957	0.001	2.22609008167253e-05	0.001	1092.629	25	1.758	amh
0.0782142230918448	0.001	0.0486530490147156	0.001	0.0108147487458046	0.001	8719.5625651	530	94.456	ara
0.000388309598876725	0.001	0.00457337467999586	0.001	0.000132163792626681	0.001	11902.4669348	27	9.738	aze
2.91720337626547e-06	0.001	0.00193582789054492	0.001	0.00020521581821975	0.001	15028.295	6	2.34	bel
7.28361850122106e-05	0.001	0.00600243380712193	0.001	0.00127017964508973	0.001	2457.33401614	230	12.449	ben
0.000410716293057718	0.001	0.0246891537801803	0.001	0.00152088355970304	0.001	13487.9143151	12	6.176	bul
0.0158302127732259	0.001	0.0422385700748941	0.001	0.0171773677388165	0.001	30625.747	9	13.09	cat
0.0186554731945827	0.001	0.0502344828118076	0.001	0.0420122493329472	0.001	27062.243	12	50.562	ces
0.00673789217871107	0.001	0.0516928758629115	0.001	0.118015772045485	0.001	37151.508	6	39	dan
0.0246840608785545	0.001	0.72610657024536	0.001	0.648231414884667	0.001	38268.2796026	185	524.098	deu
0.00882987196833172	0.001	0.0284703039418633	0.001	0.0550858738091495	0.001	26693.0809689	15	38.084	ell
1	0.001	1	0.001	1	0.001	32952.654697	1500	1617.773	eng
0.00064483411501633	0.001	0.0100649282663801	0.001	0.0349710833952701	0.001	20379.764	1.07	6.057	est
0.000891521529890706	0.001	0.00477659418776293	0.001	0.00241635945392079	0.001	30625.747	1	1.54	eus
0.0006071388384963	0.001	0.03316231434233	0.001	0.0218404787825238	0.001	9826.0354018	107	15.6	fas
0.192074214256645	0.001	0.00569582618632592	0.001	0.000460693735588897	0.001	4072.879	90	16.222	fil
0.00199940461131379	0.001	0.0725120543129073	0.001	0.0786483724146772	0.001	36235.97	6	31.008	fin
0.0533202868027797	0.001	0.512415070261456	0.001	0.617473350582363	0.001	15102.6722995	200	455.511	fra
0.00021717211127493	0.001	0.00297173540156135	0.001	0.000377553643321852	0.001	39638.6	0.53	0.58	gle
0.00701005514372092	0.001	0.00656836413837834	0.001	0.00207472607470967	0.001	30625.747	4	5.39	glg
2.78229684040655e-05	0.001	0.00137973429358205	0.001	0.000187405508618176	0.001	3693.529	46	3.105	guj
0.00463294448841663	0.001	0.0459589905959834	0.001	0.0189361808645259	0.001	12907.5138499	23	36.925	hbs
0.0010490641167069	0.001	0.046254805823276	0.001	0.0324431746403882	0.001	30975.092	10	16	heb
0.000634142564922795	0.001	0.00872652459188649	0.001	0.000965312683478517	0.001	3695.83888693	550	28.389	hin
0.00174606377465044	0.001	0.058319765852931	0.001	0.0296889046016043	0.001	18671.7887242	15	57.128	hun
6.23019899065643e-05	0.001	0.00262224937698077	0.001	0.00060585830673064	0.001	5598.16572386	6	4.838	hye
0.000228531883249311	0.001	0.00593031675191776	0.001	0.00165502856847365	0.001	38060.836	0.32	8	isl
0.0363186589524597	0.001	0.238190143793654	0.001	0.0970606794106683	0.001	30623.2300236	70	198.088	ita
0.0637320179989406	0.001	0.188067027035558	0.001	0.279954166010027	0.001	34739.655	132	75	jpn
5.2219653146027e-05	0.001	0.00297173540156135	0.001	0.000258935820071206	0.001	3693.529	47	2.553	kan
0.000151890770458016	0.001	0.00363038573954379	0.001	0.000163411501550887	0.001	5491.091	4	8.52	kat
1.60373251403108e-05	0.001	0.000660385644791407	0.001	4.71947584214839e-05	0.001	2215.691	18	1.9	khm
0.0324615375831031	0.001	0.0375513874462748	0.001	0.046528893895958	0.001	21723.4850386	78	21	kor
3.73027655402448e-05	0.001	0.000247644616796776	0.001	4.2791772144952e-05	0.001	2658.929	5	1	lao
0.00337560860843113	0.001	0.00525576733146594	0.001	0.001842840317387	0.001	15662.381	2.15	6.402	lav
0.000302036290142368	0.001	0.0114521678246534	0.001	0.00499758220812581	0.001	18856.187	4	15.58	lit
9.6892172722663e-05	0.001	0.00787745733429754	0.001	0.000280186465383823	0.001	3693.529	37	2.208	mal
0.000247574376660928	0.001	0.00474352429852075	0.001	0.000652135785378358	0.001	10366.766	3	1.995	mkd
0.000871606192497853	0.001	0.000919822862388031	0.001	2.78441268762578e-05	0.001	25428.08	0.37	1.804	mlt
0.700417354819959	0.001	0.0382928716882922	0.001	0.00991212006137335	0.001	6022.80157538	300	12.564	msa
1.87102126636946e-05	0.001	0.00063680044319171	0.001	0.000588672335340044	0.001	1324.627	52	7	mya
0.152647883419535	0.001	0.20456514509108	0.001	0.251345089545005	0.001	40518.2127388	27	81.258	nld
